UID,Acrosiphonia,Ahnfeltia.fastigiata,Alaria.marginata,Analipus.japonicus,Anemone,Antithamnion.defectum,Antithamnionella.spp.,Bangia.sp.,Barnacles,Blidingia,Bossiella_articulate,Bryozoan,Calliarthron.tuberculosum,Callithamnion.pikeanum,Callophyllis.sp.,Ceramium.codicola,Ceramium.pacificum,Chaetomorpha.cannabina,Chamberlainium.tumidum,Chiharaea.rhododactyla,Chiharaea.silvae,Cladophora.columbiana,Cladophora.sericea,Codium.fragile,Codium.setchellii,Collinsiella.tuberculata,Colpomenia.peregrina,Corallina,coralline.crust,Costaria.costata,Cryptosiphonia.woodii,Cumathamnion.decipiens,Dactylosiphon.bullosus,Desmarestia.aculeata,Desmarestia.ligulata,Dilsea.californica,Ectocarpus.commensalis,Ectocarpus.sp.,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Erythrotrichia.carnea,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.nigripes,Hedophyllum.sessile,Herposiphonia.plumula,Hildenbrandia,Hydroid,Hymenena.spp.,Johansenia.macmillanii,Laminaria.setchellii,Laminaria.yezoensis,Leathesia.marina,Lithothamnion.glaciale,Lithothamnion.phymatodeum,Lomentaria.hakodatensis,Mastocarpus,Mazzaella.oregona,Mazzaella.parksii,Mazzaella.parvula,Mazzaella.splendens,Melanosiphon.intestinalis,Melobesia.sp.,Mesophyllum.vancouveriense,Microcladia.borealis,Monostroma.grevillei,Mytilus.sp.,Nemalion.helminthoides,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.aculeata,Neorhodomela.larix,Neorhodomela.oregona,Nereocystis.luetkeana,Odonthalia.floccosa,Odonthalia.floccosa.f..comosa,Opuntiella.californica,Osmundea.spectabilis,Palmaria.hecatensis,Palmaria.mollis,Petrocelis,Peyssonnelia.sp.,Phyllospadix.spp.,Plocamium.pacificum,Plocamium.violaceum,Pododesmus.sp.,Pollicipes.polymerus,Polyneura.latissima,Polysiphonia,Prionitis,Pterocladiella.caloglossoides,Pterygophora.californica,Ptilota.filicina,Pylaiella.littoralis,Pyropia,Ralfsioid,Rhizoclonium.tortuosum,Rhodochorton.purpureum,Salishia.firma,Savoiea.robusta,Schizymenia.pacifica,Scytosiphon.dotyi,Scytosiphon.lomentaria,Smithora.naiadum,Soranthera.ulvoidea,Sphacelaria.rigidula,Styela.sp.,Symphyocladiella.dendroidea,Tokidadendron.bullatum,Tube.worms,Tunicata/Porifera,Ulva,Unknown.crust
Fifth Beach MID 2018 1,0,0,0,0,8,0,0,0,19,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0.5,0.5,0,0,0,16,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach MID 2018 10,0,0,0,0,0.5,0,0,0,0,0,9,0,0,3,0,0,0,0,14,0,0,0,0,0.5,0,0,0.5,2,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,2,0,0,0,1,4,4,0,0.5,0,0,0,0,0,0,0,3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,0
Fifth Beach MID 2018 2,0.5,0,0,0,21,0,0,0,9,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0.5,3,0.5,5,0,0,0,10.5,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,10,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0.5,0,30,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0
Fifth Beach MID 2018 3,0,0,0,0,7,0,0,0,10,0,10,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,6,1,0,1,0,0,0,5,0,0,0,0,0,3,0,0,1,0,3,0,0,0,11,8,0,0,0,0,0.5,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
Fifth Beach MID 2018 4,2,0,4,1,10,0,0,0,8,0,2.5,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0.5,7,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,2.5,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0
Fifth Beach MID 2018 5,0.5,0,0,0,7,0,0,0,1,0,1.5,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,9,0.5,0,1,0,0,0,0,0,0,0,0,0,4,0,0,6,0,13,0,0,0,9,0,0,0,0,0,1,0.5,0,0,1,0,0,2,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Fifth Beach MID 2018 6,4,0,10,0.5,6,0,0,0,2,0,2,0,0,0.5,0,0,1,0,7,0,0,0,0,0,0,0,0.5,7,1.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,11,0,1,0,0,0,2,0,0.5,0,0.5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,13,0,0,0,0,0,4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5,0
Fifth Beach MID 2018 7,10.5,0,0,0,12,0,0,0,13,0,2,0,0,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Fifth Beach MID 2018 8,2,0,0,0,9.5,0,0,0,1,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0.5,0,1,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,1,0
Fifth Beach MID 2018 9,0,0,0,0,28,0,0,0,9,0,7,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,8,0,0,0,2,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Fifth Beach HIGH 2018 1,0,0,0,0,2,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach HIGH 2018 10,1,0,0,0,0,0,0,0,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach HIGH 2018 2,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach HIGH 2018 3,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0.5,0,0,0,8,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fifth Beach HIGH 2018 4,0,0,0,0,2,0,0,0,44,0,0,0,0,0.5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,3,0,0,0,0,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Fifth Beach HIGH 2018 5,0,0,0,0,0,0,0,0,31,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Fifth Beach HIGH 2018 6,3,0,0,0,0.5,0,0,0,5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Fifth Beach HIGH 2018 7,6,0,0,0,0,0,0,0,11,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,22,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach HIGH 2018 8,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach HIGH 2018 9,3,0,0,0,2,0,0,0,18,0,0,0,0,0.5,0,0,0,0,5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.5,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.5,0
Foggy Cove LOW 2018 1,0.5,0,10,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,20,2,0,3,0,0,0,0,0,0,0,0,4,0,0,0,51,0,2.5,2,0,0,2,0,2,0,0,0,1,0,0.5,0,2.5,2,0,3,0,0,0,0,0,0,0,0,6,0.5,0,0.5,0,0,2,0,0,0,0,0,0,0,1,0.5,0,0,0,6,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Foggy Cove LOW 2018 10,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,7,0,0,0,0,29,0,0,0,1.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,4,0,0,0,1,0,0,0,0.5,0,0,0,1,0,0,0,0.5,0,0,0,8,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Foggy Cove LOW 2018 2,3.5,0,16,2,0,0,0,0,0,0,16,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,3,6,0,1,0,0,0,0,0.5,0,0,4,0,0,0,2,0,0,2,18,0,0,0.5,0,0.5,0,0,0,2,0,1,0,0,0.5,0,0,20,0,0,0,1,0,0,0,5,0,0,8,0,0,6,0,0,0.5,2,0,0.5,0,6,0,3,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
Foggy Cove LOW 2018 3,3,0,4,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0.5,0,0,0,5.5,0,0,7,0,0,0,0,0,0,0,0,2,6,0,0,71,0,1,0,0,0,25,0,0.5,0,0,0,0,0,0,0,1.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0
Foggy Cove LOW 2018 4,30,0,26,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,9,5,0,4,0,2,0,0,0,0,0,3,0,0,0,2,13,0,4,0,0,0,0,0,0,0,0,0,0.5,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,0,0,0.5,2,0,0,2,0,0.5,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0
Foggy Cove LOW 2018 5,7,0,43,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.5,0,0,0,13,0,1,0,0,0,2.5,0,0,0,0,0,3,0,0,0,0.5,2,0,3,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0.5,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0,24,0
Foggy Cove LOW 2018 6,21,0,10,0.5,0,0,0,0,0,0,3,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0.5,4,0,0,24,0,6,0,0,0,10,0,1,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0
Foggy Cove LOW 2018 7,18,0,72,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,25,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19.5,0
Foggy Cove LOW 2018 8,6,0,31,0,0,0,0,0,0,0,5,0,0,0,0,0,0.5,0.5,13,0,0,0,0,2,0,0,0,25,0,0,8,0,0,0,0,1,0,0,15,0,0,0,0,26,0,8,0,0,0,2,0,0,0,0,0,0,0,7,0,0.5,0,0,0.5,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,5,0.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,1,0,2,0
Foggy Cove LOW 2018 9,2,0,59,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,0,11,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0.5,26,0,8,0,0,0,3,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0.5,0,15,0,0,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
Foggy Cove MID 2018 1,0.5,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,1,2,0,0,0,15,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
Foggy Cove MID 2018 10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.5,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Foggy Cove MID 2018 2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Foggy Cove MID 2018 3,0,0,0,0,0.5,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
